Date;Scene;Learning_modality;Click_target;Successful_action
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Picked;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:52;School;Active;Rubber;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:04:59;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Picked;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:00;School;Active;Notebook;Dragged;None
2023-03-23:15:05:07;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Picked;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:08;School;Active;Crayon;Dragged;None
2023-03-23:15:05:15;School;Active;Ruler;Dragged;None
2023-03-23:15:05:15;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Picked;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:16;School;Active;Ruler;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Picked;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:23;Fruits;Active;Grapes;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Picked;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:35;Fruits;Active;Pomegranate;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Picked;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:05:54;Fruits;Active;Cherries;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Dragged;None
2023-03-23:15:06:06;Fruits;Active;Pear;Picked;None
